date,open,high,low,close,pct_change,volume
2025-05-13,3386.23,3386.23,3370.25,3374.87,0.17%,426240704.0
2025-05-14,3374.24,3417.31,3368.08,3403.95,0.86%,464934464.0
2025-05-15,3398.43,3402.87,3378.02,3380.82,-0.68%,424100896.0
2025-05-16,3374.71,3380.29,3356.66,3367.46,-0.40%,395401024.0
2025-05-19,3365.88,3373.6,3356.65,3367.58,0.00%,403074784.0
2025-05-20,3371.69,3387.8,3369.96,3380.48,0.38%,405544544.0
2025-05-21,3380.21,3394.75,3380.21,3387.57,0.21%,412496160.0
2025-05-22,3381.86,3390.59,3376.23,3380.19,-0.22%,394217216.0
2025-05-23,3376.87,3389.47,3348.37,3348.37,-0.94%,400227008.0
2025-05-26,3346.56,3362.31,3336.36,3346.84,-0.05%,347562112.0
2025-05-27,3346.5,3351.57,3332.49,3340.69,-0.18%,344071168.0
2025-05-28,3341.85,3348.23,3336.73,3339.93,-0.02%,341555456.0
2025-05-29,3340.4,3368.63,3337.42,3363.45,0.70%,393233824.0
2025-05-30,3358.81,3361.28,3341.65,3347.49,-0.47%,385602144.0
2025-06-03,3340.07,3367.0,3340.07,3361.98,0.43%,398060800.0
2025-06-04,3363.39,3379.64,3363.39,3376.2,0.42%,386494624.0
2025-06-05,3378.22,3387.76,3371.15,3384.1,0.23%,406252096.0
2025-06-06,3384.29,3391.45,3379.76,3385.36,0.04%,380122880.0
2025-06-09,3388.78,3402.05,3383.07,3399.77,0.43%,427347936.0
2025-06-10,3402.01,3406.45,3365.67,3384.82,-0.44%,481618560.0
2025-06-11,3385.46,3413.51,3385.46,3402.32,0.52%,424090304.0
2025-06-12,3397.97,3408.2,3388.87,3402.66,0.01%,409490592.0
2025-06-13,3397.48,3401.55,3370.59,3377.0,-0.75%,510065216.0
2025-06-16,3369.37,3389.76,3368.88,3388.73,0.35%,405383296.0
2025-06-17,3388.18,3393.31,3376.42,3387.4,-0.04%,390012448.0
2025-06-18,3386.14,3391.71,3369.99,3388.81,0.04%,378684896.0
2025-06-19,3384.29,3386.92,3353.94,3362.11,-0.79%,415327648.0
2025-06-20,3358.91,3370.8,3357.71,3359.9,-0.07%,350223648.0
2025-06-23,3349.46,3389.45,3347.65,3381.58,0.65%,384561408.0
2025-06-24,3380.08,3423.78,3380.08,3420.57,1.15%,460963808.0
2025-06-25,3419.09,3459.01,3417.41,3455.97,1.04%,509384064.0
2025-06-26,3451.72,3462.75,3446.19,3448.45,-0.22%,496541088.0
2025-06-27,3450.69,3462.63,3421.04,3424.23,-0.70%,523129440.0
2025-06-30,3423.47,3447.46,3420.11,3444.43,0.59%,457348064.0
2025-07-01,3445.85,3459.59,3441.04,3457.75,0.39%,444356736.0
